Tag,Company_name
1,Abbott Laboratories
1,Bank of America Corp
1,Cisco Systems Inc.
1,Intuit Inc
1,NVIDIA Corporation
1,Walmart Inc.
1,Walt Disney Company
1,S&P Global Inc.
1,BlackRock Inc.
2,Amazon Inc
2,Nasdaq Inc.
2,Nike Inc
2,PepsiCo
2,Procter Gamble
2,Target Corporation
2,Tesla Inc
2,Texas Instruments
2,Microsoft Corporation
2,Visa Inc
3,Twitter Inc.
3,Tyson Foods
3,Union Pacific Corporation
3,United Airlines Holdings
3,UnitedHealth Group
3,Wynn Resorts
3,Yum! Brands
3,Home Depot Inc.
3,Coca-Cola Company
4,Abiomed
4,AES Corporation
4,Agilent
4,Air Products Chemicals
4,Akamai
4,Albemarle
4,Align Technology
4,Allegion
4,Alliant Energy
4,Abbvie
4,A. O. Smith
5,American Electric Power
5,American Express
5,American International Group
5,American Tower
5,American Water Works
5,Ameriprise Financial
5,Amcor
5,Alphabet Inc
6,Amgen
6,Amphenol
6,Analog Devices
6,APA Corporation
6,Apple Inc
6,Applied Materials
6,Arista Networks
6,Arthur J. Gallagher Co.
6,Aptiv
6,Ametek
6,AmerisourceBergen
7,AvalonBay Communities
7,Avery Dennison
7,Baker Hughes
7,Ball Corporation
7,Bath Body Works
7,Baxter International
7,Becton Dickinson
7,Autodesk
7,Atmos Energy
8,Bio-Rad
8,Bio-Techne
8,BNY Mellon
8,Booking Holdings
8,BorgWarner
8,Boston Scientific
8,Bristol Myers Squibb
8,Broadcom Inc.
8,Biogen
8,Berkshire Hathaway
9,Brown-Forman
9,C.H. Robinson
9,Cadence Design Systems
9,Caesars Entertainment
9,Camden Property Trust
9,Campbell Soup Company
9,Brown Brown
9,Broadridge Financial
10,Catalent
10,Caterpillar Inc.
10,Cboe Global Markets
10,CBRE Group
10,Celanese
10,Centene Corporation
10,CenterPoint Energy
10,Ceridian
10,Carrier Global
10,Cardinal Health
11,Charles Schwab
11,Charter Communications
11,Chevron
11,Chipotle Mexican Grill
11,Chubb Limited
11,Church Dwight
11,Cigna
11,Charles River Laboratories
11,CF Industries
12,Citizens Financial
12,Citrix
12,Clorox
12,CME Group
12,CMS Energy
12,Cognizant
12,Colgate-Palmolive
12,Comerica
12,Conagra Brands
12,Citigroup
12,Cincinnati Financial
13,Constellation Brands
13,Constellation Energy
13,CooperCompanies
13,Copart
13,Corning Inc.
13,Corteva
13,CoStar Group
13,Coterra
13,Consolidated Edison
13,ConocoPhillips
14,CVS Health
14,D.R. Horton
14,Danaher
14,Darden Restaurants
14,DaVita Inc.
14,Dentsply Sirona
14,Devon Energy
14,Dexcom
14,Diamondback Energy
14,Cummins
14,Crown Castle
15,Dominion Energy
15,Dover Corporation
15,Dow Inc.
15,DTE Energy
15,Duke Energy
15,Duke Realty
15,DuPont
15,Discover Financial
15,DXC Technology
15,Digital Realty
16,Ecolab
16,Edison International
16,Edwards Lifesciences
16,Elevance Health
16,Eli Lilly Company
16,Emerson Electric
16,Eaton Corporation
16,Eastman Chemical Company
17,Essex Property Trust
17,Everest Re
17,Exelon
17,Expedia Group
17,Expeditors International
17,Extra Space Storage
17,ExxonMobil
17,F5 Inc.
17,EPAM Systems
17,EOG Resources
18,Federal Realty
18,Fifth Third Bank
18,First Republic Bank
18,FirstEnergy
18,Fiserv
18,Fleetcor
18,FMC Corporation
18,Ford Motor Company
18,Fortinet
18,Federal Realty
18,FactSet
19,Fox Corporation
19,Franklin Templeton
19,Freeport-McMoRan
19,Garmin
19,Gartner
19,Generac
19,General Dynamics
19,General Electric
19,Fortune Brands Home Security
19,Fortive
20,Genuine Parts Company
20,Gilead Sciences
20,Globe Life
20,Goldman Sachs
20,Halliburton
20,HCA Healthcare
20,Healthpeak
20,Henry Schein
20,General Motors
20,General Mills
21,Hilton Worldwide
21,Hologic
21,Honeywell
21,Hormel Foods
21,Host Hotels Resorts
21,Howmet Aerospace
21,HP Inc.
21,Hewlett Packard Enterprise
21,Hess Corporation
22,IDEX Corporation
22,Idexx Laboratories
22,Illinois Tool Works
22,Ingersoll Rand
22,Intercontinental Exchange
22,Huntington Ingalls Industries
22,Huntington Bancshares
23,Intuitive Surgical
23,Iron Mountain
23,J.B. Hunt
23,Jack Henry Associates
23,Jacobs Solutions
23,Johnson Johnson
23,Intuit
23,International Flavors Fragrances
24,Juniper Networks
24,Keurig Dr Pepper
24,KeyCorp
24,Keysight
24,Kimberly-Clark
24,Kimco Realty
24,Kinder Morgan
24,KLA Corporation
24,JPMorgan Chase
24,Johnson Controls
25,LabCorp
25,Lam Research
25,Lamb Weston
25,Las Vegas Sands
25,Lennar
25,Lincoln Financial
25,Linde plc
25,LKQ Corporation
25,Lockheed Martin
25,Kraft Heinz
25,L3Harris
